,CE,TE,Inter-Pa1,Inter-Pa2,Inter-Pa3,Failed1,Failed2,Failed3,T.Prob1,T.Prob2,T.Prob3,Mean.T.Prob,SD,SE,DP
1,3,0,19,21,29,163981,162098,162204,0.000115854,0.000129534,0.000178755,0.000141381,3.31E-05,1.91E-05,5
2,5,0,36,33,33,162872,163706,162771,0.000220984,0.00020154,0.000202698,0.000208407,1.09E-05,6.30E-06,5
3,9,0,80,69,78,162552,164072,165288,0.000491908,0.00042037,0.000471681,0.00046132,3.69E-05,2.13E-05,5
4,17,0,208,187,207,163750,162303,162948,0.001268618,0.00115084,0.001268732,0.001229397,6.80E-05,3.93E-05,5
5,33,0,260,244,246,164799,163477,162722,0.001575194,0.00149034,0.001509499,0.001525011,4.45E-05,2.57E-05,5
6,3,3,9,13,9,164808,162526,163349,5.46E-05,8.00E-05,5.51E-05,6.32E-05,1.45E-05,8.38E-06,5
7,5,3,19,19,19,161926,163710,164706,0.000117324,0.000116045,0.000115344,0.000116238,1.00E-06,5.80E-07,5
8,9,3,61,57,53,163511,161915,161618,0.000372924,0.000351913,0.000327826,0.000350888,2.26E-05,1.30E-05,5
9,17,3,142,120,105,165246,161581,162735,0.000858587,0.00074211,0.000644805,0.000748501,0.000107034,6.18E-05,5
10,33,3,182,204,189,161337,165044,163188,0.001126802,0.001234508,0.001156834,0.001172715,5.56E-05,3.21E-05,5
11,3,7,9,9,9,164405,165192,162721,5.47E-05,5.45E-05,5.53E-05,5.48E-05,4.23E-07,2.44E-07,5
12,5,7,14,13,13,162672,164927,163472,8.61E-05,7.88E-05,7.95E-05,8.15E-05,3.99E-06,2.30E-06,5
13,9,7,17,10,14,163751,164061,162478,0.000103805,6.09E-05,8.62E-05,8.36E-05,2.15E-05,1.24E-05,5
14,17,7,61,60,62,163590,165187,164074,0.000372744,0.000363093,0.000377736,0.000371191,7.44E-06,4.30E-06,5
15,33,7,110,92,95,164914,163541,164976,0.00066657,0.000562234,0.00057551,0.000601438,5.68E-05,3.28E-05,5
16,3,15,2,1,1,164012,163809,162841,1.22E-05,6.10E-06,6.14E-06,8.15E-06,3.51E-06,2.02E-06,5
17,5,15,2,3,2,164765,163385,165796,1.21E-05,1.84E-05,1.21E-05,1.42E-05,3.61E-06,2.09E-06,5
18,9,15,3,4,4,163397,165189,162842,1.84E-05,2.42E-05,2.46E-05,2.24E-05,3.49E-06,2.01E-06,5
19,17,15,32,23,22,165927,162581,163595,0.000192819,0.000141448,0.00013446,0.000156242,3.19E-05,1.84E-05,5
20,33,15,38,39,39,161775,163156,163577,0.000234839,0.000238978,0.000238363,0.000237393,2.23E-06,1.29E-06,5
21,3,31,0,0,0,165457,162886,165341,0,0,0,0,0,0,5
22,5,31,0,0,0,163062,164063,164089,0,0,0,0,0,0,5
23,9,31,0,1,0,164366,163922,162199,0,6.10E-06,0,2.03E-06,3.52E-06,2.03E-06,5
24,17,31,0,1,0,163144,162470,162739,0,6.15E-06,0,2.05E-06,3.55E-06,2.05E-06,5
25,33,31,1,0,5,162553,163142,162633,6.15E-06,0,3.07E-05,1.23E-05,1.63E-05,9.39E-06,5
