,CE,TE,Width,Inter-Pa1,Inter-Pa2,Inter-Pa3,Failed1,Failed2,Failed3,T.Prob1,T.Prob2,T.Prob3,Mean.T.Prob,SD,SE,DP
1,3,0,2,28,41,34,164325,163652,163129,0.000170365,0.000250469,0.000208381,0.000209738,4.01E-05,2.31E-05,5
2,5,0,2,53,62,67,164196,162169,162047,0.000322681,0.000382171,0.000413289,0.000372714,4.60E-05,2.66E-05,5
3,9,0,2,111,115,112,162395,163677,162564,0.000683052,0.00070211,0.000688485,0.000691216,9.82E-06,5.67E-06,5
4,17,0,2,182,242,184,162784,164487,163471,0.001116797,0.00146908,0.001124316,0.001236731,0.000201255,0.000116194,5
5,3,3,2,7,17,18,162099,165419,165033,4.32E-05,0.000102759,0.000109057,8.50E-05,3.64E-05,2.10E-05,5
6,5,3,2,23,24,32,163978,163115,163055,0.000140243,0.000147114,0.000196214,0.00016119,3.05E-05,1.76E-05,5
7,9,3,2,53,46,50,164519,162434,166238,0.000322047,0.000283112,0.000300683,0.000301947,1.95E-05,1.13E-05,5
8,17,3,2,105,122,123,163374,165378,164739,0.000642284,0.00073716,0.000746079,0.000708508,5.75E-05,3.32E-05,5
9,3,7,2,4,6,7,164179,165345,164274,2.44E-05,3.63E-05,4.26E-05,3.44E-05,9.27E-06,5.35E-06,5
10,5,7,2,8,8,17,164662,162404,165208,4.86E-05,4.93E-05,0.00010289,6.69E-05,3.12E-05,1.80E-05,5
11,9,7,2,16,19,21,163819,161955,164787,9.77E-05,0.000117303,0.000127421,0.000114128,1.51E-05,8.74E-06,5
12,17,7,2,52,60,45,162178,161208,162885,0.000320533,0.000372051,0.000276192,0.000322925,4.80E-05,2.77E-05,5
13,3,15,2,1,0,3,164590,163890,163795,6.08E-06,0,1.83E-05,8.13E-06,9.33E-06,5.39E-06,5
14,5,15,2,2,3,3,164084,162697,164431,1.22E-05,1.84E-05,1.82E-05,1.63E-05,3.55E-06,2.05E-06,5
15,9,15,2,3,4,8,163205,163502,163162,1.84E-05,2.45E-05,4.90E-05,3.06E-05,1.62E-05,9.37E-06,5
16,17,15,2,14,15,13,164550,162536,164571,8.51E-05,9.23E-05,7.90E-05,8.54E-05,6.65E-06,3.84E-06,5
17,3,0,4,11,13,22,164444,163912,163624,6.69E-05,7.93E-05,0.000134437,9.35E-05,3.60E-05,2.08E-05,5
18,5,0,4,40,42,60,164897,165475,163805,0.000242517,0.00025375,0.000366155,0.000287474,6.84E-05,3.95E-05,5
19,9,0,4,39,41,52,163514,164166,163655,0.000238455,0.000249685,0.000317641,0.000268593,4.28E-05,2.47E-05,5
20,17,0,4,112,123,115,162956,163064,162175,0.00068683,0.000753737,0.000708608,0.000716392,3.41E-05,1.97E-05,5
21,3,3,4,7,7,6,163455,161596,162930,4.28E-05,4.33E-05,3.68E-05,4.10E-05,3.61E-06,2.09E-06,5
22,5,3,4,29,23,17,164566,164243,163534,0.00017619,0.000140017,0.000103943,0.00014005,3.61E-05,2.09E-05,5
23,9,3,4,28,35,32,163315,163615,162387,0.000171418,0.000213871,0.000197021,0.000194104,2.14E-05,1.23E-05,5
24,17,3,4,99,100,88,160652,164254,164566,0.000615859,0.000608443,0.000534454,0.000586252,4.50E-05,2.60E-05,5
25,3,7,4,6,6,3,162019,163902,164586,3.70E-05,3.66E-05,1.82E-05,3.06E-05,1.07E-05,6.20E-06,5
26,5,7,4,15,15,13,164264,164469,165570,9.13E-05,9.12E-05,7.85E-05,8.70E-05,7.36E-06,4.25E-06,5
27,9,7,4,18,20,10,164338,165574,165118,0.000109518,0.000120777,6.06E-05,9.70E-05,3.20E-05,1.85E-05,5
28,17,7,4,63,66,62,163730,162552,164627,0.000384632,0.000405859,0.000376467,0.000388986,1.52E-05,8.76E-06,5
29,3,15,4,0,0,1,164712,163247,162556,0,0,6.15E-06,2.05E-06,3.55E-06,2.05E-06,5
30,5,15,4,2,2,3,163969,168014,161806,1.22E-05,1.19E-05,1.85E-05,1.42E-05,3.75E-06,2.16E-06,5
31,9,15,4,9,4,4,161935,163824,163258,5.56E-05,2.44E-05,2.45E-05,3.48E-05,1.80E-05,1.04E-05,5
32,17,15,4,28,25,18,164517,161334,165143,0.000170166,0.000154934,0.000108985,0.000144695,3.19E-05,1.84E-05,5
33,3,0,6,40,36,38,164430,164160,163149,0.000243205,0.00021925,0.000232862,0.000231772,1.20E-05,6.94E-06,5
34,5,0,6,41,45,36,161652,164174,163107,0.000253567,0.000274024,0.000220665,0.000249419,2.69E-05,1.55E-05,5
35,9,0,6,53,49,44,164451,163455,163133,0.000322181,0.000299687,0.000269646,0.000297171,2.64E-05,1.52E-05,5
36,17,0,6,86,94,82,163364,164661,167047,0.000526155,0.000570544,0.000490639,0.000529113,4.00E-05,2.31E-05,5
37,3,3,6,26,18,18,163626,163069,163744,0.000158874,0.000110371,0.000109916,0.000126387,2.81E-05,1.62E-05,5
38,5,3,6,20,34,24,163364,165558,160638,0.000122411,0.000205324,0.000149382,0.000159039,4.23E-05,2.44E-05,5
39,9,3,6,43,40,31,166055,160061,162801,0.000258883,0.000249842,0.00019038,0.000233035,3.72E-05,2.15E-05,5
40,17,3,6,79,58,69,162794,165405,162714,0.00048504,0.000350532,0.000423877,0.000419816,6.73E-05,3.89E-05,5
41,3,7,6,14,13,11,164607,164134,164584,8.50E-05,7.92E-05,6.68E-05,7.70E-05,9.30E-06,5.37E-06,5
42,5,7,6,22,16,20,164390,165185,164969,0.00013381,9.69E-05,0.00012122,0.000117294,1.88E-05,1.08E-05,5
43,9,7,6,25,20,17,162789,162731,163683,0.000153549,0.000122887,0.000103849,0.000126762,2.51E-05,1.45E-05,5
44,17,7,6,35,46,43,162690,161930,165911,0.000215087,0.000283993,0.000259108,0.000252729,3.49E-05,2.01E-05,5
45,3,15,6,5,1,10,163043,163734,162711,3.07E-05,6.11E-06,6.15E-05,3.27E-05,2.77E-05,1.60E-05,5
46,5,15,6,10,4,5,165261,164495,164458,6.05E-05,2.43E-05,3.04E-05,3.84E-05,1.94E-05,1.12E-05,5
47,9,15,6,12,10,5,163750,162399,161967,7.33E-05,6.16E-05,3.09E-05,5.52E-05,2.19E-05,1.26E-05,5
48,17,15,6,25,31,29,165084,162295,163716,0.000151415,0.000190974,0.000177105,0.000173164,2.01E-05,1.16E-05,5
49,3,0,2,163,156,142,164143,164029,163791,0.000992051,0.000950148,0.000866208,0.000936136,6.41E-05,3.70E-05,7.5
50,5,0,2,234,215,228,163887,163057,163129,0.001425777,0.001316821,0.001395716,0.001379438,5.63E-05,3.25E-05,7.5
51,9,0,2,403,429,407,162549,162796,161838,0.002473121,0.002628274,0.002508552,0.002536649,8.13E-05,4.69E-05,7.5
52,17,0,2,780,822,793,162440,165149,164419,0.004778826,0.004952672,0.004799893,0.004843797,9.49E-05,5.48E-05,7.5
53,3,3,2,91,88,73,161319,165550,164495,0.000563782,0.000531279,0.000443586,0.000512882,6.22E-05,3.59E-05,7.5
54,5,3,2,120,129,124,164633,163619,163777,0.000728363,0.000787796,0.000756554,0.000757571,2.97E-05,1.72E-05,7.5
55,9,3,2,235,240,238,160736,163153,162140,0.00145989,0.001468851,0.001465716,0.001464819,4.55E-06,2.63E-06,7.5
56,17,3,2,493,508,516,163271,165810,162563,0.00301043,0.00305439,0.003164111,0.00307631,7.92E-05,4.57E-05,7.5
57,3,7,2,42,33,42,164868,164372,165034,0.000254684,0.000200724,0.000254428,0.000236612,3.11E-05,1.79E-05,7.5
58,5,7,2,58,64,61,162099,163973,163566,0.000357678,0.000390156,0.000372799,0.000373544,1.63E-05,9.38E-06,7.5
59,9,7,2,128,93,128,163918,163478,162879,0.000780269,0.00056856,0.000785242,0.000711357,0.000123691,7.14E-05,7.5
60,17,7,2,276,288,245,161153,163168,163177,0.00170973,0.001761942,0.001499186,0.001656953,0.000139102,8.03E-05,7.5
61,3,15,2,12,7,10,163642,163084,165156,7.33E-05,4.29E-05,6.05E-05,5.89E-05,1.53E-05,8.81E-06,7.5
62,5,15,2,20,11,14,163034,164910,160461,0.000122659,6.67E-05,8.72E-05,9.22E-05,2.83E-05,1.63E-05,7.5
63,9,15,2,37,38,43,163903,162647,163946,0.000225692,0.00023358,0.000262213,0.000240495,1.92E-05,1.11E-05,7.5
64,17,15,2,86,87,67,165683,163985,163384,0.000518794,0.000530255,0.000409909,0.000486319,6.64E-05,3.83E-05,7.5
65,3,0,4,90,91,94,165883,162846,164093,0.000542257,0.000558498,0.000572518,0.000557758,1.51E-05,8.74E-06,7.5
66,5,0,4,221,218,227,165310,163776,163198,0.001335097,0.001329317,0.001389016,0.001351144,3.29E-05,1.90E-05,7.5
67,9,0,4,266,303,260,163378,163273,163740,0.00162548,0.00185235,0.001585366,0.001687732,0.000143967,8.31E-05,7.5
68,17,0,4,759,617,678,163746,163610,163640,0.004613842,0.003756995,0.004126146,0.004165661,0.000429788,0.000248138,7.5
69,3,3,4,53,56,47,163400,164954,163667,0.000324252,0.000339373,0.000287086,0.000316904,2.69E-05,1.55E-05,7.5
70,5,3,4,150,138,169,162547,164586,162792,0.000921959,0.000837765,0.001037058,0.000932261,0.000100045,5.78E-05,7.5
71,9,3,4,175,151,182,163233,164507,164294,0.001070939,0.000917052,0.001106544,0.001031512,0.000100711,5.81E-05,7.5
72,17,3,4,525,542,520,164741,163593,161761,0.003176697,0.00330216,0.003204318,0.003227725,6.59E-05,3.81E-05,7.5
73,3,7,4,35,36,26,164974,161810,164478,0.00021211,0.000222434,0.000158051,0.000197531,3.46E-05,2.00E-05,7.5
74,5,7,4,91,94,109,164073,163417,163024,0.000554324,0.000574885,0.000668166,0.000599125,6.07E-05,3.50E-05,7.5
75,9,7,4,115,120,112,164451,166533,162138,0.000698808,0.000720059,0.000690293,0.000703053,1.53E-05,8.85E-06,7.5
76,17,7,4,397,367,395,162488,163507,163050,0.002437302,0.002239525,0.002416715,0.002364514,0.000108732,6.28E-05,7.5
77,3,15,4,9,12,11,163552,163735,162679,5.50E-05,7.33E-05,6.76E-05,6.53E-05,9.35E-06,5.40E-06,7.5
78,5,15,4,32,23,33,162126,162723,164468,0.000197338,0.000141325,0.000200607,0.000179757,3.33E-05,1.92E-05,7.5
79,9,15,4,49,53,43,163660,163712,163332,0.000299312,0.000323634,0.000263198,0.000295381,3.04E-05,1.76E-05,7.5
80,17,15,4,185,174,173,163771,164396,165077,0.001128352,0.001057301,0.001046899,0.001077517,4.43E-05,2.56E-05,7.5
81,3,0,6,246,244,244,161965,161354,162392,0.001516543,0.00150992,0.001500283,0.001508915,8.18E-06,4.72E-06,7.5
82,5,0,6,270,283,292,165114,164478,165848,0.001632564,0.001717639,0.001757554,0.001702586,6.38E-05,3.69E-05,7.5
83,9,0,6,345,310,340,162377,161969,163909,0.00212018,0.00191029,0.002070028,0.0020335,0.000109609,6.33E-05,7.5
84,17,0,6,566,546,487,163535,164005,163034,0.003449095,0.00331812,0.002978211,0.003248475,0.000243045,0.000140322,7.5
85,3,3,6,180,171,175,163263,164461,164104,0.001101301,0.00103868,0.001065261,0.001068414,3.14E-05,1.81E-05,7.5
86,5,3,6,204,217,185,163649,165010,162374,0.001245018,0.001313345,0.001138048,0.001232137,8.84E-05,5.10E-05,7.5
87,9,3,6,283,247,233,163671,163565,165009,0.001726094,0.001507826,0.001410053,0.001547991,0.000161803,9.34E-05,7.5
88,17,3,6,453,451,453,163252,162599,163803,0.002767173,0.002766023,0.00275789,0.002763695,5.06E-06,2.92E-06,7.5
89,3,7,6,97,109,99,162519,164767,163317,0.000596497,0.000661103,0.000605816,0.000621139,3.49E-05,2.02E-05,7.5
90,5,7,6,158,140,119,165111,162389,163556,0.000956017,0.000861385,0.000727051,0.000848151,0.000115056,6.64E-05,7.5
91,9,7,6,181,150,170,163944,163717,162477,0.001102818,0.000915376,0.001045208,0.001021134,9.60E-05,5.54E-05,7.5
92,17,7,6,310,316,293,164201,163602,162372,0.001884372,0.001927793,0.001801248,0.001871138,6.43E-05,3.71E-05,7.5
93,3,15,6,36,36,42,163808,162551,163835,0.000219721,0.00022142,0.00025629,0.000232477,2.06E-05,1.19E-05,7.5
94,5,15,6,43,66,50,164296,164352,165748,0.000261654,0.000401416,0.000301572,0.000321547,7.20E-05,4.16E-05,7.5
95,9,15,6,74,72,87,163166,163295,162385,0.00045332,0.000440725,0.000535477,0.000476508,5.15E-05,2.97E-05,7.5
96,17,15,6,175,172,169,164152,160887,162027,0.00106495,0.001067932,0.001041949,0.001058277,1.42E-05,8.21E-06,7.5
97,3,0,2,253,228,205,164095,163954,163203,0.001539416,0.001388703,0.001254529,0.001394216,0.000142524,8.23E-05,10
98,5,0,2,381,370,395,162985,164212,164979,0.002332187,0.002248119,0.002388525,0.002322944,7.07E-05,4.08E-05,10
99,9,0,2,682,714,736,162981,164646,162079,0.004167099,0.004317852,0.004520468,0.00433514,0.000177317,0.000102374,10
100,17,0,2,1296,1313,1333,164109,162040,163541,0.007835313,0.008037808,0.008084962,0.007986028,0.000132635,7.66E-05,10
101,3,3,2,140,157,157,165333,164028,164202,0.000846059,0.000956238,0.000955226,0.000919175,6.33E-05,3.66E-05,10
102,5,3,2,258,228,280,165315,165134,164688,0.001558225,0.001378793,0.001697299,0.001544772,0.000159678,9.22E-05,10
103,9,3,2,419,419,433,163461,162397,164645,0.002556749,0.002573457,0.002623002,0.002584403,3.45E-05,1.99E-05,10
104,17,3,2,823,894,915,163041,163934,164674,0.005022458,0.005423836,0.005525729,0.005324008,0.000266073,0.000153617,10
105,3,7,2,89,86,86,162776,163490,164045,0.000546465,0.000525749,0.000523972,0.000532062,1.25E-05,7.22E-06,10
106,5,7,2,135,114,123,162475,162260,164618,0.000830207,0.000702083,0.000746627,0.000759639,6.50E-05,3.76E-05,10
107,9,7,2,266,229,251,163768,163206,162853,0.001621615,0.001401169,0.001538895,0.00152056,0.000111361,6.43E-05,10
108,17,7,2,576,493,477,164018,164295,162710,0.00349952,0.002991723,0.002923027,0.00313809,0.000314887,0.0001818,10
109,3,15,2,27,27,32,163068,163625,163277,0.000165548,0.000164984,0.000195948,0.000175493,1.77E-05,1.02E-05,10
110,5,15,2,45,51,42,163901,164257,161768,0.000274481,0.000310393,0.000259564,0.000281479,2.61E-05,1.51E-05,10
111,9,15,2,97,95,94,162331,163859,162901,0.000597188,0.000579431,0.000576705,0.000584441,1.11E-05,6.42E-06,10
112,17,15,2,181,194,187,165116,161661,163492,0.001094999,0.001198604,0.00114248,0.001145361,5.19E-05,2.99E-05,10
113,3,0,4,210,175,192,164116,164181,162338,0.001277947,0.001064762,0.00118132,0.001174677,0.000106748,6.16E-05,10
114,5,0,4,559,548,565,162846,162997,162099,0.003420948,0.00335076,0.003473418,0.003415042,6.15E-05,3.55E-05,10
115,9,0,4,609,546,587,163733,162800,165118,0.003705687,0.003342598,0.00354244,0.003530242,0.000181852,0.000104992,10
116,17,0,4,1580,1577,1598,162385,161766,162110,0.009636203,0.009654531,0.009761282,0.009684005,6.75E-05,3.90E-05,10
117,3,3,4,116,130,124,163096,165056,163556,0.000710732,0.000786992,0.000757576,0.000751766,3.85E-05,2.22E-05,10
118,5,3,4,374,410,406,165199,161616,165411,0.002258822,0.002530458,0.002448482,0.002412588,0.00013933,8.04E-05,10
119,9,3,4,416,421,371,163275,162114,164599,0.002541374,0.002590211,0.002248894,0.00246016,0.000184584,0.00010657,10
120,17,3,4,1204,1221,1214,163043,162611,161901,0.007330423,0.007452756,0.007442602,0.007408594,6.79E-05,3.92E-05,10
121,3,7,4,89,75,77,164138,162287,163172,0.000541933,0.000461931,0.000471672,0.000491845,4.36E-05,2.52E-05,10
